R_values,C3
4.351351351351351451e-08,-1.088975531235620853e-01
4.361261261261261217e-08,-1.081569086681785363e-01
4.371171171171170984e-08,-1.074229654705486370e-01
4.381081081081081412e-08,-1.066956479116143719e-01
4.390990990990991178e-08,-1.059748813939817569e-01
4.400900900900900944e-08,-1.052605923258528448e-01
4.410810810810810710e-08,-1.045527081052463059e-01
4.420720720720721138e-08,-1.038511571045001580e-01
4.430630630630630904e-08,-1.031558686550513304e-01
4.440540540540540670e-08,-1.024667730324860110e-01
4.450450450450450436e-08,-1.017838014418561282e-01
4.460360360360360202e-08,-1.011068860032560274e-01
4.470270270270270630e-08,-1.004359597376543040e-01
4.480180180180180396e-08,-9.977095655297614496e-02
4.490090090090090163e-08,-9.911181123043025232e-02
4.499999999999999929e-08,-9.845845941107676802e-02
4.509909909909909695e-08,-9.781083758263035832e-02
4.519819819819820123e-08,-9.716888306649451579e-02
4.529729729729729889e-08,-9.653253400502223580e-02
4.539639639639639655e-08,-9.590172934899848789e-02
4.549549549549549421e-08,-9.527640884534063770e-02
4.559459459459459849e-08,-9.465651302501204567e-02
4.569369369369369615e-08,-9.404198319114512317e-02
4.579279279279279381e-08,-9.343276140736929414e-02
4.589189189189189147e-08,-9.282879048634028185e-02
4.599099099099098914e-08,-9.223001397846693206e-02
4.609009009009009342e-08,-9.163637616083099291e-02
4.618918918918919108e-08,-9.104782202629736754e-02
4.628828828828828874e-08,-9.046429727280975996e-02
4.638738738738738640e-08,-8.988574829286934131e-02
4.648648648648649068e-08,-8.931212216319242558e-02
4.658558558558558834e-08,-8.874336663454363006e-02
4.668468468468468600e-08,-8.817943012174131456e-02
4.678378378378378366e-08,-8.762026169383213547e-02
4.688288288288288132e-08,-8.706581106443141149e-02
4.698198198198198560e-08,-8.651602858222602610e-02
4.708108108108108326e-08,-8.597086522163704947e-02
4.718018018018018093e-08,-8.543027257363877691e-02
4.727927927927927859e-08,-8.489420283673149159e-02
4.737837837837837625e-08,-8.436260880806502327e-02
4.747747747747748053e-08,-8.383544387471000836e-02
4.757657657657657819e-08,-8.331266200507468633e-02
4.767567567567567585e-08,-8.279421774046355487e-02
4.777477477477477351e-08,-8.228006618677634332e-02
4.787387387387387779e-08,-8.177016300634391832e-02
4.797297297297297545e-08,-8.126446440989895659e-02
4.807207207207207311e-08,-8.076292714867841505e-02
4.817117117117117078e-08,-8.026550850665625791e-02
4.827027027027026844e-08,-7.977216629290304062e-02
4.836936936936937272e-08,-7.928285883407061585e-02
4.846846846846847038e-08,-7.879754496699974131e-02
4.856756756756756804e-08,-7.831618403144759155e-02
4.866666666666666570e-08,-7.783873586293399427e-02
4.876576576576576336e-08,-7.736516078570354615e-02
4.886486486486486764e-08,-7.689541960580152657e-02
4.896396396396396530e-08,-7.642947360426208259e-02
4.906306306306306296e-08,-7.596728453040578477e-02
4.916216216216216062e-08,-7.550881459524538819e-02
4.926126126126126490e-08,-7.505402646499743924e-02
4.936036036036036256e-08,-7.460288325469781323e-02
4.945945945945946023e-08,-7.415534852191940640e-02
4.955855855855855789e-08,-7.371138626059012267e-02
4.965765765765765555e-08,-7.327096089490939268e-02
4.975675675675675983e-08,-7.283403727336146272e-02
4.985585585585585749e-08,-7.240058066282363536e-02
4.995495495495495515e-08,-7.197055674276774118e-02
5.005405405405405281e-08,-7.154393159955343973e-02
5.015315315315315709e-08,-7.112067172081143474e-02
5.025225225225225475e-08,-7.070074398991532671e-02
5.035135135135135241e-08,-7.028411568053986869e-02
5.045045045045045008e-08,-6.987075445130519480e-02
5.054954954954954774e-08,-6.946062834050431567e-02
5.064864864864865202e-08,-6.905370576091335311e-02
5.074774774774774968e-08,-6.864995549468262681e-02
5.084684684684684734e-08,-6.824934668830695550e-02
5.094594594594594500e-08,-6.785184884767456182e-02
5.104504504504504266e-08,-6.745743183319224956e-02
5.114414414414414694e-08,-6.706606585498632589e-02
5.124324324324324460e-08,-6.667772146817757539e-02
5.134234234234234226e-08,-6.629236956822881499e-02
5.144144144144143992e-08,-6.590998138636434966e-02
5.154054054054054420e-08,-6.553052848505944161e-02
5.163963963963964186e-08,-6.515398275359926550e-02
5.173873873873873953e-08,-6.478031640370532362e-02
5.183783783783783719e-08,-6.440950196522901572e-02
5.193693693693693485e-08,-6.404151228191053147e-02
5.203603603603603913e-08,-6.367632050720252457e-02
5.213513513513513679e-08,-6.331390010015691683e-02
5.223423423423423445e-08,-6.295422482137409681e-02
5.233333333333333211e-08,-6.259726872901343053e-02
5.243243243243243639e-08,-6.224300617486386300e-02
5.253153153153153405e-08,-6.189141180047389584e-02
5.263063063063063171e-08,-6.154246053333949779e-02
5.272972972972972938e-08,-6.119612758314942058e-02
5.282882882882882704e-08,-6.085238843808669917e-02
5.292792792792793132e-08,-6.051121886118537851e-02
5.302702702702702898e-08,-6.017259488674180784e-02
5.312612612612612664e-08,-5.983649281677903137e-02
5.322522522522522430e-08,-5.950288921756414356e-02
5.332432432432432196e-08,-5.917176091617706857e-02
5.342342342342342624e-08,-5.884308499713019475e-02
5.352252252252252390e-08,-5.851683879903818442e-02
5.362162162162162156e-08,-5.819299991133659172e-02
5.372072072072071922e-08,-5.787154617104910831e-02
5.381981981981982350e-08,-5.755245565960216692e-02
5.391891891891892116e-08,-5.723570669968648661e-02
5.401801801801801883e-08,-5.692127785216429675e-02
5.411711711711711649e-08,-5.660914791302209398e-02
5.421621621621621415e-08,-5.629929591036766934e-02
5.431531531531531843e-08,-5.599170110147097534e-02
5.441441441441441609e-08,-5.568634296984808357e-02
5.451351351351351375e-08,-5.538320122238726134e-02
5.461261261261261141e-08,-5.508225578651693155e-02
5.471171171171171569e-08,-5.478348680741447485e-02
5.481081081081081335e-08,-5.448687464525536761e-02
5.490990990990991101e-08,-5.419239987250191321e-02
5.500900900900900868e-08,-5.390004327123103234e-02
5.510810810810810634e-08,-5.360978583050041851e-02
5.520720720720721062e-08,-5.332160874375239945e-02
5.530630630630630828e-08,-5.303549340625510894e-02
5.540540540540540594e-08,-5.275142141257989359e-02
5.550450450450450360e-08,-5.246937455411501694e-02
5.560360360360360126e-08,-5.218933481661456458e-02
5.570270270270270554e-08,-5.191128437778223803e-02
5.580180180180180320e-08,-5.163520560488939204e-02
5.590090090090090086e-08,-5.136108105242673250e-02
5.599999999999999852e-08,-5.108889345978936264e-02
5.609909909909910280e-08,-5.081862574899432411e-02
5.619819819819820046e-08,-5.055026102243038999e-02
